employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,campus_code,program_shift
<000004>,DMC-Zahir,Ahmed,<->,,,03/01/2019,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,10,20,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000006>,DMC-Saad,Munshi,<->,<->,,03/01/2019,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000001>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DMC,Morning
<000002>,DMC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000003>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000005>,DMC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000007>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000008>,DMC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DMC,Morning
<000009>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000010>,DMC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
