employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,other_leaves,leave_type01,leave_type02,leave_type03,leave_type04,leave_type05,leave_type06,leave_type07,leave_type08,leave_type09,leave_type10,leave_type11,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,gender,campus_code,program_shift
<000006>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000016>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000017>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000019>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000020>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000022>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000024>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000027>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000028>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000031>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
<000035>,fffff,lllll,<->,,,12/12/2020,,<EMP>,<NOT ASSIGNED>,<NOT ASSIGNED>,<Staff>,<NOT ASSIGNED>,<NOT ASSIGNED>,<A>,1,TRUE,0,6,0,0,0,0,11,0,0,0,0,0,0,0,3,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,male,DMC,Morning,42xxx-081001-x
