employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,photograph,file_01,file_02,file_03,file_04,emergency_contact_01,emergency_contact_02,description
<154859>,Rais,Ahmed,inayat68@gmail.com,,,01/17/1976,10/22/2017,3,230,72,206,18,0,0,0,FALSE,8,5,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<154910>,Muhammad,Munshi,inayat68@gmail.com,,,08/27/1976,11/26/2017,3,230,72,206,19,0,0,0,TRUE,6,5,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<155082>,Muhammad,Shah,inayat68@gmail.com,,3319737427,11/02/1976,08/31/2017,3,2153,10,13,22,0,15,0,FALSE,7,4,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<155881>,Abdul,Majeed,inayat68@gmail.com,,,08/20/1976,02/26/2017,3,230,72,206,18,0,0,0,FALSE,5,2,7,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<156053>,Shaukat,Ali,inayat68@gmail.com,,,01/07/1977,04/06/2017,3,230,72,206,18,0,0,0,FALSE,4,5,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<156305>,Muhammad,Hayat,inayat68@gmail.com,,,11/22/1976,09/22/2016,3,3831,11,11,19,0,21,0,FALSE,6,6,3,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<156592>,Liaquat,Ali,inayat68@gmail.com,,3362132612,01/10/1977,12/10/2017,3,230,72,206,20,0,0,0,TRUE,5,7,5,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<156772>,Ahmed,Khan,inayat68@gmail.com,,,11/02/1976,01/01/1900,3,230,72,206,19,0,0,0,TRUE,3,8,8,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<157329>,Mahboob,Ilahi,inayat68@gmail.com,,,10/21/1976,04/11/2017,3,3881,65,11,7,0,23,0,FALSE,6,4,9,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
<157337>,Muhammad,Aslam,inayat68@gmail.com,,,06/01/1976,01/01/1900,3,230,72,206,20,0,0,0,TRUE,2,3,6,my-photo.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,myimage-01.jpg,Ali-044535434-cousin,ahmed-043434733-brother,abc
