employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,campus_code
<000016>,DMC-Ali,Zafar,<->,,,,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,10,20,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC
<000003>,DMC-Aleem,Shah,<->,,345456443,10/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC
<000017>,DMC-Mohsin,Alvi,<->,<->,,03/01/2019,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC
<000018>,DMC-Aleem,Shah,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DMC
<000019>,DDC-Kaleem,Immam,<->,,345456443,,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC
<000020>,DDC-Kashif,Manzoor,<->,<->,,,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC
<000021>,DDC-Aleem,Shah,<->,,345456443,03/12/2018,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DDC
<000022>,DDC-Ahmed,Azfar,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC
<000023>,DIDC-Kashif,Manzoor,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DIDC
<000024>,DIDC-Saad,Saleem,<->,,345456443,,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DIDC
