employeeCode,firstName,lastName,email,address,mobileNo,dateOfJoining,dateOfLeaving,accessGroup,departmentID,designationID,functionID,gradeID,locationID,regionID,typeOfEmploymentID,active,sick_leaves,casual_leaves,annual_leaves,photograph,file_01,file_02,file_03,file_04,file_05,emergency_contact_01,emergency_contact_02,description,date_of_birth,father_name,campus_code,program_shift
<000004>,DMC-Ali,Ahmed,<->,,,03/01/2019,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,10,20,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000006>,DMC-Saad,Mirza,<->,<->,,15/01/2019,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000001>,DMC-Yasir,Saeed,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DMC,Morning
<000002>,DMC-Kashif,Manzoor,<->,<->,,03/11/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<A>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000003>,DMC-Aleem,Shah,<->,,345456443,03/11/2018,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000005>,DMC-Raheem,Hafeez,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<A>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000007>,DMC-Rauf,Siddiqui,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000008>,DMC-Mohsin,Tararr,<->,<->,,15/07/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DMC,Morning
<000009>,DMC-Kashif,Mushtaq,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000010>,DMC-Basit,alvi,<->,<->,,03/01/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<B>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000011>,DMC-Aleem,Riaz,<->,,345456443,06/05/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000012>,DMC-Kashif,Kaleem,<->,<->,,03/10/2019,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<A>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DMC,Morning
<000013>,DMC-Aleem,Tufail,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000014>,DMC-Moiz,Shafiq,<->,<->,,15/11/2018,,<EMP>,<->,<->,<STUDENT>,<->,<karachi>,<A>,1,TRUE,4,5,5,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<Ali>,DMC,Morning
<000015>,DMC-Aleem,Moid,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,,DMC,Morning
<000054>,DDC-Zahir,Ahmed,<->,,,03/01/2019,,<HR>,<->,<->,<Staff>,<I>,<karachi>,<->,1,TRUE,8,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,D,DDC,Morning
<000056>,DDC-Saad,Munshi,<->,<->,,03/01/2019,,<LM>,<A>,<A>,<Lecturer>,<I>,<->,<A>,1,TRUE,6,5,6,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,A,DDC,Morning
<000051>,DDC-AlHasam,Yasir,<->,,345456443,03/01/2019,,<EMP>,<A>,<->,<STUDENT>,<->,<karachi>,<->,1,TRUE,7,4,8,demo-user.png,demo-01.png,demo-02.png,demo-01.png,demo-02.png,demo-01.png,<->,<->,<->,01/01/2000,<->,DDC,Morning
