"employeeCode","employeeName","email","address","mobileNo","dateOfJoining","dateOfLeaving","company","department","designation","function","grade","location","region","active",
"0002231","usman ali","abc@gmail.com","A-3432","03232222","2017-07-01","2017-07-29","RESCO","","","","","Karachi","Karachi","True",
"000223","usman lai","usman@gmail.com","A-343","0343233223","2017-08-01","2017-08-31","RESCO","","","","new ","Karachi","Karachi","True",
"000212","usman ali","abc@gmail.com","A-3432","03232222","2017-07-01","2017-07-29","RESCO","","","","","Karachi","Karachi","True",
"000345","usman lai","usman@gmail.com","A-343","0343233223","2017-08-01","2017-08-31","RESCO","","","","new ","Karachi","Karachi","True",
"123456","test123456789","test@hbl.com","-","90078601","2017-07-20","","hbl1234","","","","","","","True",
"test123","Yaqoot","test@hbl.com","test","90078601","2016-07-05","","HBL","TEST","","","","","","True",
"test1122","Saquib","test@hbl.com","test address","90078601","2017-07-01","","primehr","","","","","","","True",
"1555","Aishahbl ","test@hbl.com","testing","90078601","2016-10-01","","primehr","","","","","","","True",
"12354","test","test@hbl.com","klsdjaljflas","90078601","2017-07-04","","primehr","","","","","","","True",
"jksajhfkshf","fhakfhkasjfh","test@hbl.com","kjkhkdhakjdh","90078601","2017-07-01","","primehr","","","","","","","True",
"023123","yaqoot","test@gmail.com","","03452723341","2017-07-01","2017-07-05","resco","","","sd","sd","sdsd","sdsd","True",
"231241","sadas21341","test@hbl.com","asf1212d","90078601","2017-07-12","","primehr","","","","","","","True",
"123456789","test1234","test@hbl.com","-","90078601","2017-07-20","","primehr","","","","","","","True",
"123456789asda","test","test@hbl.com","-","90078601","2017-07-20","","primehr","","","","","","","True",
"65654564","dsfafas","test@hbl.com","test","90078601","2017-07-02","","primehr","","","","","","","True",
"15555","Mohsin test","test@hbl.com","Mohsin test","90078601","2017-08-01","","primehr","","","","","","","True",
"1122","Farhan","test@hbl.com","-","90078601","2017-07-20","","primehr","QA","MANAGER","","","","","True",
"003456","Abdul Muqeet","abc@13.com","A-33","0232121323232","1900-01-01","1900-01-01","","","","","","","","True",
"23123","yaqoot","test@hbl.com","","90078601","2017-07-01","2017-05-07","primehr","","","","","","","True",
"3456","Abdul Muqeet","test@hbl.com","A-33","90078601","1900-01-01","","primehr","","","","","","","True",
"155555","Qurrat","test@hbl.com","test","03000000000","2017-07-01","2017-08-18","HBL","QA","test","test","test","test","test","True",
"222222","Qurrat","test@hbl.com","kldjfklafjlsdakj","5649879789","2017-08-01","2017-08-17","d4s56a4564ds564f","dfasf","sdfas","sdfas","sdfas","dsfas","sdfsfs","True",
"1133","yaqoot","dadsdfa@sfds","test","46545646","2017-07-04","2017-08-16","HBL","QA","Manager","QA","test","test","sdsd","True",
"3542","testing","test@test","alkfjsdlajkl","1234567892","2017-08-01","2017-08-25","df","sadf","sdfaf","sdafda","sdfaf","sdfas","sdfsa","True",
"1","sdfas","dsaf@test.com","sfasfasfa","54684987987","2017-07-01","2017-08-31","fasfaf","test","test","test","test","dsfaf","sdfasf","True",
